Movimentos,BFS,BFS MANHATTAN,BFS NÃšMERO ERRADOS
1,0.000492095947266,0.000388145446777,0.000348091125488
2,0.000147819519043,0.000173807144165,0.000160932540894
3,0.00174903869629,0.00123906135559,0.00120902061462
4,0.00342202186584,0.00434899330139,0.00415015220642
5,0.0102190971375,0.00740003585815,0.00718688964844
6,0.0155389308929,0.0149269104004,0.0146191120148
7,0.0873560905457,0.0468668937683,0.0457410812378
8,0.219120979309,0.220154047012,0.217328071594
9,0.643573045731,0.510998010635,0.638932943344
10,0.924340963364,0.789364814758,1.4360101223
11,5.08264303207,3.10558700562,5.11560797691
12,11.8681559563,11.3018770218,11.7732260227
13,31.511507988,19.961329937,25.7360639572
14,44.561647892,36.8855800629,44.5635080338
15,196.811879873,122.545399904,242.58494091
16,387.796606779,338.56396699,403.929580927
